id,txn_id,credit_debit_indicator,amount,revr_txn_id,value_date,transaction_date,booking_date
FGDHB57MoXjAuPQNqDvg,RMU1SEQTBU1KlfcosVFjQ,DR,-101.28118582084909,,2014-04-23,2014-04-23,2014-04-17
3OBjfIaphkQ6F8bLxDuoRg,7m6iquotQD3c5vAkTn9eCA,CR,7.061500074882747E-7,,2014-05-01,2014-04-30,2014-04-30
mxZQLnMB6oEJIfNqx5GJmg,2XuLquxSIiiUVC8hwOebA,DR,-2.0848833997291845E-7,,2016-01-15,2016-01-15,2016-01-15
ykaholNazjUF6IieRywg,2oF7FSBjgjoUvVZHhQjlhA,CR,9.105728248317212E-6,,2014-04-03,2014-04-03,2014-04-03
xzr1Dh5MZU1ffmJ38pyjbQ,KgopYcQKgFgfnjl4kstz1g,DR,-0.046010770527773436,,2017-09-20,2017-09-20,2017-09-20
q8pD91iekkhOdYCPjPWD9w,nWuFaeKjt8125kudmWNdMg,DR,-2.0848833997291845E-7,,2017-04-28,2017-04-27,2017-04-27
knJd4g3Shy8ZplBhSMVzDw,qilC2mvBxmRAs1xk3SANQ,DR,-4.022782519777462E-7,,2017-02-25,2017-02-23,2017-02-23
Pkp6yyuXncJiON0UcIOxHw,1VP7xXicZadOKWOnrhyMQ,CR,0.00554578984327963,,2015-06-02,2015-06-02,2015-06-02
vpJaKTxShAPIzR3O6WBNtg,3KoTp3jaZtEcLei65rmw,DR,-4.210296932749104E-5,,2017-01-06,2017-01-06,2017-01-06
pHR3sgMQTQZrj3D2vdMTA,X10tOFMHPlkpWBnqzhwA,DR,-2.0848833997291845E-7,,2017-09-16,2017-09-15,2017-09-15
Ud3GfZ7BxGDpM9VQT0xSoQ,b7oaVG4aBfuMAPFlkbZEg,DR,-9.375720648582142E-7,,2015-11-20,2015-11-20,2015-11-20
tQcVzouqvryGlr5d3GzSsQ,wdCPdsSssAkg9JvsGzjb8w,DR,-2.0848833997291845E-7,,2015-10-29,2015-10-29,2015-10-29
3OBjfIaphkQ6F8bLxDuoRg,HJdghqVPeiNvlzeutzKkdg,DR,-2.0848833997291845E-7,,2014-11-08,2014-11-07,2014-11-07
tQcVzouqvryGlr5d3GzSsQ,6OyFnn0f4PuLyKOxxxRQ,DR,-1.0445265832643214E-6,,2014-01-14,2014-01-14,2014-01-14
MVezspyBbLMmOINMjVBSlw,B8LNZtFxgXNhbG65Zvs2w,CR,7.289794807153094E-7,,2016-06-01,2016-05-31,2016-05-31
jm7rDcSoWYVcdfJw9NWEw,z6h1lspHNnyv3W6HReTw,DR,-2.0848833997291845E-7,,2015-01-30,2015-01-30,2015-01-30
tQcVzouqvryGlr5d3GzSsQ,C4WQueHMmcEeHuwTj0rfQ,CR,6.72281076659674E-6,,2017-06-23,2017-06-24,2017-06-24
MVezspyBbLMmOINMjVBSlw,6nwA2XlLeImcFpvznB6Rg,CR,1.816975882863984E-5,,2017-10-01,2017-09-29,2017-09-29
nHGUSfvX0tEir0EynUq98Q,OHTTb0CgmtimU4WAfDT94Q,DR,-1.1351147669825545E-4,,2014-02-01,2014-01-31,2014-01-31
tQcVzouqvryGlr5d3GzSsQ,RCtHbbr5eOXH09FYSYehw,DR,-0.04588874344907316,,2013-10-22,2013-10-22,2013-10-22
S4KzxjEjOd9tJW1qgS3gw,oeErdSiSrGBnduVvxIMuQ,CR,8.03980971892997E-4,,2016-12-01,2016-12-01,2016-12-01
q8pD91iekkhOdYCPjPWD9w,x4PKivYwcVc8ub39tuUoA,DR,-2.0848833997291845E-7,,2017-06-30,2017-06-30,2017-06-30
q8pD91iekkhOdYCPjPWD9w,u0Kv6owupqeI9AViVWSA,DR,-2.0848833997291845E-7,,2016-10-12,2016-10-11,2016-10-11
FwvoshQvrd8aUT0xAYWpEA,JoDy48zuOzlJyp1amhnIQA,DR,-0.03391692484446236,,2014-01-04,2014-01-04,2014-01-04
6eCUj52hFzqwxdTc9JYe2Q,ywYCaq0sIGFdXi0lZ4zA,CR,6.880115219106307E-8,,2015-04-01,2015-04-01,2015-04-01
6UQIXlse78XFUxu2GD9vuw,Ppqe4rS71WPaJyUpLTZA,CR,2.0848833997291844E-4,,2016-04-29,2016-04-29,2016-04-29
pHR3sgMQTQZrj3D2vdMTA,ISXF8VgRImtXUnUPniTaw,CR,1.8016050799994808E-4,,2018-03-28,2018-03-28,2018-03-28
FwvoshQvrd8aUT0xAYWpEA,8w3HBnmGM45g80zMCmpazA,DR,-1.6241241683890345E-7,,2015-09-29,2015-09-29,2015-09-29
GtHbSe2CR7h9DUcUXMa3w,eoqFJse0iZzYVgeWWaEWg,DR,-2.13387815962282E-7,,2017-10-20,2017-10-20,2017-10-20
q8pD91iekkhOdYCPjPWD9w,R0mxIJpbcEgu5As4y4NZag,DR,-1.2963909223686054E-5,,2016-07-08,2016-07-08,2016-07-08
xD5BGlG04X3hPpRXDZd0A,2AY7MglCXX67mb8UBfk8A,CR,0.0041697667994583685,,2015-12-10,2015-12-10,2015-12-10
pHR3sgMQTQZrj3D2vdMTA,i4H3t87nGDA7ALW4xmwaPA,DR,-2.0848833997291845E-7,,2016-07-12,2016-07-09,2016-07-09
ykaholNazjUF6IieRywg,tTxGfMe1BAFWSIAWpWcIzA,CR,5.892818685164553E-6,,2013-07-01,2013-06-29,2013-06-29
q8pD91iekkhOdYCPjPWD9w,zlwQSUDuDSJJflayohIhLQ,DR,-2.0848833997291845E-7,,2017-10-14,2017-10-10,2017-10-10
GSoJUidIpZHsYR5SByVw5Q,MpVlWOk1lpxAc47bpd7Rg,DR,-0.020283830595965235,,2015-02-20,2015-02-20,2015-02-20
q8pD91iekkhOdYCPjPWD9w,XA49Y897gMLpmSAvi0Wpw,DR,-1.2132666212214027E-5,,2017-10-14,2017-10-10,2017-10-10
pHR3sgMQTQZrj3D2vdMTA,F3UxqxcsDym0XMBlkZAzvQ,DR,-2.0848833997291845E-7,,2017-08-19,2017-08-17,2017-08-17
Pkp6yyuXncJiON0UcIOxHw,6Bhnp4IsyuSUHhQ07wU6kw,DR,-2.0848833997291845E-7,,2016-04-07,2016-04-07,2016-04-07
tQcVzouqvryGlr5d3GzSsQ,KJqywxXNxJFCHrmwU7uog,DR,-1.042441699864592E-6,,2014-10-01,2014-09-30,2014-09-30
r0fY7DHmnbtVirxmaINxA,mjiy2K29Jlqeb2bGTILqxA,DR,-2.0848833997291845E-7,,2016-12-16,2016-12-16,2016-12-16
q8pD91iekkhOdYCPjPWD9w,cs7L6sV7n43oF7dQ8D1w,DR,-0.0010424416998645921,,2016-04-01,2016-04-01,2016-04-01
mxZQLnMB6oEJIfNqx5GJmg,b8ETxPYhSUocssAelG3aQw,DR,-0.028927757171242432,,2017-01-04,2017-01-04,2017-01-04
hgKn8WSDSpycaBVhxRMbYw,K0ceR95PmDR3nDM9aMfwxw,DR,-2.0848833997291845E-7,,2017-02-14,2017-02-14,2017-02-14
9QiDc0WtDpDQ0rxvdIJtw,gYWCgZ2F0LjACXa2R8lxw,DR,-3.2315692695802353E-9,,2015-08-01,2015-07-31,2015-07-31
pHR3sgMQTQZrj3D2vdMTA,xO4AljTLB3hmyWWDRHn4Q,CR,1.0809630479996885E-4,,2018-03-24,2018-03-24,2018-03-24
T8NHA2PiiwgR0GAwWRq5w,mAkKjhmsA78Fiws90nmnQ,DR,-0.010424416998645922,,2016-04-01,2016-04-01,2016-04-01
q8pD91iekkhOdYCPjPWD9w,HZBrKmKGhEMxYskeNxXQ,DR,-2.0848833997291845E-7,,2018-01-17,2018-01-12,2018-01-12
knJd4g3Shy8ZplBhSMVzDw,Srn4p0gk9ovnhWDJKh8bOA,DR,-2.214458903022353E-6,,2017-05-01,2017-04-29,2017-04-29
jYwrf9l1bgGh3X7iCbR3oQ,Az2VQPDijkyV77So2rJWGA,DR,-0.005753137543544556,,2016-02-02,2016-02-02,2016-02-02
6eCUj52hFzqwxdTc9JYe2Q,I241tUjeLsMfoe5zNDig,CR,1.2895003827325003E-7,,2017-07-01,2017-06-30,2017-06-30
3OBjfIaphkQ6F8bLxDuoRg,Vps9GFlSI9xPadjxCErXA,DR,-1.5636625497968883E-6,,2016-04-01,2016-03-31,2016-03-31
6UEFeUSpepDfh5o7sQC3Q,UetUboiJ8Qvuga67Ro9Rw,DR,-9.486219468767787E-7,,2017-11-28,2017-11-28,2017-11-28
Pkp6yyuXncJiON0UcIOxHw,0xzG6hcWR5cFfeejyjoxg,DR,-2.0848833997291845E-7,,2013-10-09,2013-10-09,2013-10-09
q8pD91iekkhOdYCPjPWD9w,IWzo8jK72GjcO7EFxnNXsg,CR,0.0026061042496614804,,2017-02-28,2017-02-28,2017-02-28
GtHbSe2CR7h9DUcUXMa3w,BN0sBQwoqPdvRszV3EMPDw,DR,-8.150851651241245E-7,,2018-03-01,2018-02-28,2018-02-28
tQcVzouqvryGlr5d3GzSsQ,8trmq7nqoNmTUPMEq8Ug,DR,-0.017025323486174627,,2014-05-06,2014-05-06,2014-05-06
hgKn8WSDSpycaBVhxRMbYw,BrcD1gJsjq10FevY9ujbw,DR,-1.9024561022528807E-4,,2016-06-21,2016-06-21,2016-06-21
pHR3sgMQTQZrj3D2vdMTA,QyXzVsnwFG9YVgCxvpg,DR,-1.3799634734467499E-5,,2017-08-19,2017-08-17,2017-08-17
nIBZql3zodSzCnAQ8V6YQ,i5cEYyEkXanb63GNH518Jg,DR,-1.042441699864592E-6,,2015-09-01,2015-08-31,2015-08-31
mxZQLnMB6oEJIfNqx5GJmg,q4hognKCYDNhX4KH3zCOOQ,DR,-2.0848833997291845E-7,,2015-07-30,2015-07-30,2015-07-30
qCEjARjLPso4k7uW8tfx6g,69YI1QrwsNrH1VBDIrAQOw,CR,3.2315692695802357E-6,,2017-03-24,2017-03-24,2017-03-24
pHR3sgMQTQZrj3D2vdMTA,f5dJSlMvIs7ZgWuqlJ5OSQ,CR,0.0010424416998645921,,2016-12-21,2016-12-21,2016-12-21
3OBjfIaphkQ6F8bLxDuoRg,YQhgbHgTbZAFoCBKFKO4SA,DR,-2.0848833997291845E-7,,2017-11-15,2017-11-15,2017-11-15
q8pD91iekkhOdYCPjPWD9w,EpSkysI62Kpc2qZedhe0w,DR,-2.0848833997291845E-7,,2017-10-14,2017-10-10,2017-10-10
q8pD91iekkhOdYCPjPWD9w,kTuO4IaaaKfa9AyKimz6A,DR,-1.4486603814678265E-5,,2017-01-14,2017-01-12,2017-01-12
pHR3sgMQTQZrj3D2vdMTA,vz0X6sBW00ekQCcHqLbJdQ,CR,2.6061042496614803E-4,,2016-08-24,2016-08-24,2016-08-24
q8pD91iekkhOdYCPjPWD9w,xTkyNzJQ9cploXSbngrnw,DR,-2.2333375222069007E-5,,2018-01-17,2018-01-11,2018-01-11
feUltvjFc1cauaXiGwGA,jyw1Q22rkeJD7sR3yCacxA,DR,-0.0011800440042467183,,2015-04-01,2015-03-31,2015-03-31
q8pD91iekkhOdYCPjPWD9w,xqY7lgPSvBlVLVZYV0TN1A,DR,-1.3255584411308166E-5,,2016-07-08,2016-07-08,2016-07-08
q8pD91iekkhOdYCPjPWD9w,vjiNsdxdYhi3PCZ8Ljuayg,DR,-2.5995889890373268E-5,,2016-07-08,2016-07-08,2016-07-08
mxZQLnMB6oEJIfNqx5GJmg,RpNU1H1W9vhLqgshX8vjpA,DR,-7.818312748984441E-5,,2014-04-11,2014-04-11,2014-04-11
GSoJUidIpZHsYR5SByVw5Q,l8dNky2PfSgo2ACigbHag,DR,-3.283691354573465E-4,,2014-02-19,2014-02-19,2014-02-19
tQcVzouqvryGlr5d3GzSsQ,c917yjesuev1JvmOl61Fg,DR,-0.04012294399166537,,2013-03-09,2013-03-09,2013-03-09
tQcVzouqvryGlr5d3GzSsQ,jGKky7nr8VjWJX4ZuWPpXA,DR,-2.7092747046970787E-5,,2016-12-06,2016-12-06,2016-12-06
pHR3sgMQTQZrj3D2vdMTA,UiHyt9BUABVw3AQ6xXfMdA,DR,-1.2264430843076913E-5,,2017-09-16,2017-09-15,2017-09-15
FGDHB57MoXjAuPQNqDvg,BmNEJEZM1QwFuUcgSpfFA,DR,-5.5186863590831506E-5,,2016-02-26,2016-02-25,2016-02-25
q8pD91iekkhOdYCPjPWD9w,ok9ekzZmit6vIVxyGUw,DR,-2.0848833997291845E-7,,2017-10-14,2017-10-10,2017-10-10
nIBZql3zodSzCnAQ8V6YQ,saEWiPW9xHurcZaDsfkQ,DR,-1.62308172668917E-5,,2017-05-26,2017-05-26,2017-05-26
tQcVzouqvryGlr5d3GzSsQ,gh3xocQjIWUX3uUlXLZfQ,DR,-2.0848833997291845E-7,,2016-01-08,2016-01-08,2016-01-08
MVezspyBbLMmOINMjVBSlw,EpD6CFLXFoiN4ohkoDWVw,DR,-1.4802672138077208E-8,,2015-02-01,2015-01-31,2015-01-31
MVezspyBbLMmOINMjVBSlw,uOAsXdmx8Jtk0x5PoMpOg,CR,1.0424416998645922E-4,,2014-12-31,2014-12-31,2014-12-31
q8pD91iekkhOdYCPjPWD9w,2AFYjmDpEyoY8KnNcFlog,DR,-3.453196544738247E-4,,2018-02-24,2018-02-24,2018-02-24
GLw1V0HiE7z3Yvwq647bXg,oPfDThlg9cI7Ev5PJj9QvQ,DR,-6.39016762016995E-8,,2017-11-01,2017-10-31,2017-10-31
q8pD91iekkhOdYCPjPWD9w,VQWl8r2cWaMHNcn5qnlAHw,DR,-5.915241606128641E-5,,2017-04-28,2017-04-27,2017-04-27
DDiPEQQ4o7RsGu5x40Zw,sVa7NoLXcIzmKBFSf9dwg,CR,0.06289050775283085,,2015-06-04,2015-06-04,2015-06-04
q8pD91iekkhOdYCPjPWD9w,iLQX2FGwcWCpM5VDOywNFw,DR,-1.2855808019410097E-5,,2017-01-14,2017-01-12,2017-01-12
pHR3sgMQTQZrj3D2vdMTA,19vRozxKkteZYBd42OKD2w,DR,-1.548575291074748E-4,,2017-08-19,2017-08-18,2017-08-18
q8pD91iekkhOdYCPjPWD9w,VIVINVhenSAAsGZnGKcCOA,DR,-1.606976002426262E-5,,2017-01-14,2017-01-12,2017-01-12
EEiEWmxxgkFs7hrRHHA3Uw,GPJ0gqxyX1xucQeXk7YPsg,DR,-1.0424416998645922E-10,,2016-11-01,2016-10-29,2016-10-29
ykaholNazjUF6IieRywg,DcZgbOywICDS99Rlx4RIA,DR,-1.284183930063191E-6,,2016-02-25,2016-02-25,2016-02-25
pHR3sgMQTQZrj3D2vdMTA,bc2hzSmTJJWZoUpXUAHbQ,CR,1.3030521248307402E-4,,2016-08-24,2016-08-24,2016-08-24
pHR3sgMQTQZrj3D2vdMTA,5QkTXhOD3PoqpeSEzJ7ZA,DR,-2.061313792895246E-5,,2017-08-19,2017-08-17,2017-08-17
pHR3sgMQTQZrj3D2vdMTA,EuzWJR8eABbUn2Ft6K2Q,DR,-2.0848833997291845E-7,,2017-04-05,2017-04-05,2017-04-05
q8pD91iekkhOdYCPjPWD9w,1DCCIp19K0JzT5Bcl8KRA,DR,-1.6764755905562344E-5,,2017-10-14,2017-10-10,2017-10-10
pHR3sgMQTQZrj3D2vdMTA,qE792nedbOhEzkvD4WN5vA,DR,-2.0848833997291845E-7,,2016-05-28,2016-05-28,2016-05-28
FwvoshQvrd8aUT0xAYWpEA,ruIvttvwXRTW63GSgSLqEA,DR,-7.767233105691076E-7,,2015-08-19,2015-08-19,2015-08-19
FwvoshQvrd8aUT0xAYWpEA,AEyvCWfwTQa0PwMxi0K3wA,DR,-1.5187333125327243E-6,,2015-06-12,2015-06-12,2015-06-12
pHR3sgMQTQZrj3D2vdMTA,YWHrWwtXWhXJGTQXzYVog,DR,-1.374441659762567E-4,,2017-09-16,2017-09-15,2017-09-15
mxZQLnMB6oEJIfNqx5GJmg,fM6cRBjG3ueFv8bk4K9JJg,DR,-2.0848833997291845E-7,,2017-02-08,2017-02-08,2017-02-08
mxZQLnMB6oEJIfNqx5GJmg,iBlaLm0P39ow6ed9yFkOwg,DR,-0.011028135850752142,,2015-07-30,2015-07-30,2015-07-30
q8pD91iekkhOdYCPjPWD9w,I9hF14cDg5va2KsV1x0Qzg,CR,0.0012509300398375106,,2016-06-23,2016-06-24,2016-06-24
pHR3sgMQTQZrj3D2vdMTA,8V38NWNCOkGAMUWotThPw,DR,-2.0848833997291845E-7,,2016-12-17,2016-12-17,2016-12-17
3OBjfIaphkQ6F8bLxDuoRg,gXfgLchVKUMhx2R1F28XQ,DR,-3.054354180603255E-6,,2014-05-28,2014-05-28,2014-05-28
9QiDc0WtDpDQ0rxvdIJtw,s4XPMlMJv8LzFbrt8HYvKQ,DR,-2.0848833997291844E-10,,2017-02-01,2017-01-31,2017-01-31
ga1JDMwoTQqz271nh0Hiaw,ngKlQlMC5ZP0jXdbAsbcQ,CR,4.900414186893461E-6,,2018-01-01,2017-12-30,2017-12-30
feUltvjFc1cauaXiGwGA,VMEFXd7v4ISY9pNd0M8QSQ,CR,0.0010552713425973357,,2014-09-23,2014-09-23,2014-09-23
pHR3sgMQTQZrj3D2vdMTA,xS25yu9RgE67ojSccC8xA,DR,-0.0010424416998645921,,2017-04-14,2017-04-14,2017-04-14
q8pD91iekkhOdYCPjPWD9w,1x2CuH4kTPtHUO5kSprA,DR,-2.0848833997291845E-7,,2017-01-14,2017-01-12,2017-01-12
tQcVzouqvryGlr5d3GzSsQ,UdnSgqVtcA9VA1q5vX0w,CR,9.134752952566542E-4,,2016-04-29,2016-04-29,2016-04-29
FGDHB57MoXjAuPQNqDvg,nSOI5b1ZFpv7WBRquhocBA,CR,77.87039497988503,,2015-11-13,2015-11-13,2015-10-30
tQcVzouqvryGlr5d3GzSsQ,DndKyNYbdP9XoiOxCtV9zw,DR,-7.818312748984441E-5,,2015-02-18,2015-02-18,2015-02-18
Ud3GfZ7BxGDpM9VQT0xSoQ,gkU953uRNFHJ7UVCtIRnA,DR,-0.38405827696027284,,2014-11-25,2014-11-25,2014-11-21
6iHO5Wu2uDhH27H4kjy2aA,PJcwoniCgnKERXhTKUMkxw,DR,-1.042441699864592E-8,,2014-07-01,2014-06-28,2014-06-28
vpJaKTxShAPIzR3O6WBNtg,9z8yJuDIXlpGxkwndyWQ,DR,-2.0848833997291845E-7,,2014-06-25,2014-06-25,2014-06-25
q8pD91iekkhOdYCPjPWD9w,MPSBHMREyPuwfG5iSDIYAg,DR,-3.183596102552467E-5,,2017-10-14,2017-10-10,2017-10-10
pHR3sgMQTQZrj3D2vdMTA,Ls5a9JS2dOBrqU4TFUkSOA,CR,9.121364873815181E-4,,2014-08-01,2014-08-01,2014-08-01
W5pYt58Xo3mt5QyEe5Ymig,wxBzOrMgA0F9W45CCoDXKg,CR,2.790734226449598E-4,,2016-05-28,2016-05-27,2016-05-27
nIBZql3zodSzCnAQ8V6YQ,haO1awqySwGu0vtWPOt6PA,CR,1.70899977159201E-5,,2014-06-01,2014-05-31,2014-05-31
q8pD91iekkhOdYCPjPWD9w,WpUgZKGaSZPqllMjQBE0Q,DR,-2.0848833997291845E-7,,2017-01-14,2017-01-12,2017-01-12
qCEjARjLPso4k7uW8tfx6g,kyLWvhXqsahrmBHMwOeg,CR,0.014688003551092104,,2017-05-18,2017-05-18,2017-05-18
Pkp6yyuXncJiON0UcIOxHw,LfrZqudcBpKd1zHIoKyxg,DR,-0.0041697667994583685,,2014-12-06,2014-12-05,2014-12-05
q8pD91iekkhOdYCPjPWD9w,dMN9aGf6C5sV8APNbxmCnA,DR,-1.5636625497968883E-6,,2015-07-01,2015-06-30,2015-06-30
AvfACktUMOi5v4Uh9GPVig,eLHIYlVrv7gr9MjEhJXCVQ,DR,-9.494559002366705E-7,,2015-12-21,2015-12-21,2015-12-21
q8pD91iekkhOdYCPjPWD9w,fHulJQ0CNYWAaJmKsWd3sA,DR,-2.0848833997291845E-7,,2016-10-12,2016-10-11,2016-10-11
AvfACktUMOi5v4Uh9GPVig,8Fq7fo199JeFkgP4IqGtHw,DR,-3.1273250995937767E-6,,2017-03-01,2017-02-28,2017-02-28
qCEjARjLPso4k7uW8tfx6g,buams6MyNFVs53sHyAKPNg,DR,-2.0848833997291845E-7,,2016-02-25,2016-02-26,2016-02-26
q8pD91iekkhOdYCPjPWD9w,4N7c9ogtSnEMGfrOq8Dyjw,DR,-2.0848833997291845E-7,,2017-07-15,2017-07-12,2017-07-12
nIBZql3zodSzCnAQ8V6YQ,rYlqaOhES46X5VfwItlDg,CR,7.426594431426324E-4,,2014-11-15,2014-11-15,2014-11-15
vpJaKTxShAPIzR3O6WBNtg,I7c3JdRYtMcWPv2SPjSAQ,DR,-6.942036256078266E-6,,2015-08-18,2015-08-18,2015-08-18
q8pD91iekkhOdYCPjPWD9w,X6Lo7gpW4Fg2aX49o9RP5A,DR,-2.0848833997291845E-7,,2017-07-15,2017-07-12,2017-07-12
pHR3sgMQTQZrj3D2vdMTA,xTtNs2C9bJD1fxr29G7GNQ,CR,1.3030521248307402E-4,,2016-08-24,2016-08-24,2016-08-24
DDiPEQQ4o7RsGu5x40Zw,vlHbzrdsBq84IxTS5vhFXA,DR,-1.4828733180573823E-6,,2017-05-01,2017-04-29,2017-04-29
